detector,budget,R,R_lo,R_hi
thin,0.01,1.04327996051717,0.9954907912126032,1.0964222859388142
thin,0.02,1.0622928809821393,1.0247365563145074,1.1014593710380922
thin,0.03,1.0515812602342742,1.0225519607658793,1.0844365492335286
thin,0.04,1.0436517655236566,1.019874841627436,1.0727904083625017
thin,0.05,1.0447734473502446,1.0242205183501718,1.0700926232780854
thin,0.06,1.0585593761875862,1.0386852465621372,1.0797007600288857
thin,0.07,1.0743426760662007,1.0551223510357863,1.0938956276398095
thin,0.08,1.0904325694141095,1.0719571280525562,1.1105459066455472
thin,0.09,1.1055198633190175,1.0873751784927401,1.1248203644321464
thin,0.1,1.125297147359424,1.1086091176267312,1.1439971737860253
thin,0.11,1.1418887351549483,1.1241358593146218,1.1605889629064656
thin,0.12,1.1632672483519688,1.1466324312932101,1.1804193624215595
thin,0.13,1.1816476095588115,1.1652827789070854,1.1984687759835444
thin,0.14,1.1998881684973688,1.1833476756132366,1.21698275432615
thin,0.15,1.2122002403594319,1.1966502028334003,1.229314642346335
thin,0.16,1.2266396070580001,1.212088648093691,1.2421307785815257
thin,0.17,1.236937348557475,1.2219133166078218,1.252089478633956
thin,0.18,1.2502012907572395,1.235746570883859,1.2655792864025102
thin,0.19,1.2599873670921935,1.246677351540517,1.2740542521263971
thin,0.2,1.2675039683921308,1.2547674820782724,1.2819171886971166
thin,0.21,1.275341953124619,1.263493677210928,1.2890191394649337
thin,0.22,1.2828519232133424,1.2717784376981391,1.2969317895847978
thin,0.23,1.2903845661366793,1.2790755464605417,1.303573162195836
thin,0.24,1.2966461960651456,1.285888441416506,1.3105055431400672
thin,0.25,1.3040663310403495,1.2932005337415136,1.3176620449807113
rich,0.01,1.2211857578265322,1.1716274954986758,1.2843335402262057
rich,0.02,1.7998674867311515,1.7447562888476584,1.8807807300271315
rich,0.03,2.206898446124185,2.1506520392525856,2.273640292452916
rich,0.04,2.487604639681355,2.4349136286337174,2.552228472053596
rich,0.05,2.6890773956010983,2.639321749552526,2.757440852774909
rich,0.06,2.8455316710034126,2.793630225148466,2.9068008972629436
rich,0.07,2.9369213188647985,2.881735947493265,2.999898909809865
rich,0.08,2.978957937825026,2.9236985701040057,3.0382969313969843
rich,0.09,2.9934763424149855,2.9407818026850903,3.0587022417692373
rich,0.1,2.9984894229358963,2.948050681177166,3.0581718674002634
rich,0.11,2.9487976938061204,2.900139674699197,3.0044390055889094
rich,0.12,2.8563435878484853,2.8153763624754644,2.906394912643555
rich,0.13,2.758932345724783,2.716165980195267,2.8054755943328025
rich,0.14,2.633280432820404,2.5923525696516654,2.67108625666526
rich,0.15,2.515022394863168,2.4806541049897346,2.5473990302949168
rich,0.16,2.3991844499238795,2.371174983265828,2.4300416224834307
rich,0.17,2.298818653264733,2.27248060719869,2.3278855398431575
rich,0.18,2.213025108100465,2.1861841069023313,2.2368900223428416
rich,0.19,2.1383544249091853,2.1152900765378972,2.1624749937527117
rich,0.2,2.0739735159445227,2.0511273317615215,2.0958084459700523
rich,0.21,2.0158414805268503,1.993580602974841,2.037226643331525
rich,0.22,1.968392648227791,1.9485161211502802,1.9881234023033472
rich,0.23,1.924501114695008,1.9058859239261465,1.942139813236675
rich,0.24,1.889912242520591,1.8711334295625657,1.907531991954975
rich,0.25,1.8570014705835112,1.8406633453573056,1.8740670731129228
gnn,0.01,0.8044095416755492,0.7831654954263394,0.825548066933983
gnn,0.02,0.822455627144791,0.8029111693080349,0.8422899520618722
gnn,0.03,2.3354880982522865,2.297495322872951,2.3728414806673843
gnn,0.04,2.3354880982522865,2.297495322872951,2.3728414806673843
gnn,0.05,2.3354880982522865,2.297495322872951,2.3728414806673843
gnn,0.06,2.3354880982522865,2.297495322872951,2.3728414806673843
gnn,0.07,2.3354880982522865,2.297495322872951,2.3728414806673843
gnn,0.08,2.3354880982522865,2.297495322872951,2.3728414806673843
gnn,0.09,2.422942738395126,2.3856855840614215,2.461001561861067
gnn,0.1,2.483790728335002,2.4467934805438634,2.521700601311933
gnn,0.11,2.504709203234007,2.470848934828781,2.540687305704527
gnn,0.12,2.4542569723767067,2.420413016045751,2.4867706415998128
gnn,0.13,2.3937710107161108,2.359724583576079,2.4265893807793724
gnn,0.14,2.200087014261835,2.1687826638886167,2.2283477514456873
gnn,0.15,2.039312426135202,2.013259835156751,2.063474731284605
gnn,0.16,1.9196867558997386,1.8971811169334203,1.9411263975482418
gnn,0.17,1.826936558216923,1.807073577064738,1.8450210292509845
gnn,0.18,1.761818761490642,1.744350592649647,1.778995022191334
gnn,0.19,1.721214466221585,1.7049015459161367,1.7379084059936558
gnn,0.2,1.689688108431074,1.673584774973652,1.705731721099238
gnn,0.21,1.6649163638956954,1.6500160225368645,1.6799856350065892
gnn,0.22,1.6417743160674356,1.6273826486651335,1.6564776835783561
gnn,0.23,1.6288728602571785,1.6147984009131338,1.6431438607686555
gnn,0.24,1.6143617939400994,1.6002966383370514,1.6279626404231677
gnn,0.25,1.6017109494870554,1.588726376982179,1.6148211680383746
