currency,n,det,budget,FPR_S,FPR_L,pi_S_over_L,R,nS,nL
0,322523,thin,10%,9.318530766505257,11.87728679988742,0.5648068077715506,1.3890896557209578,135660,81920
0,322523,rich,10%,19.373745128144563,4.41145877947601,0.5648068077715506,7.775555646201744,135660,81920
0,322523,gnn,10%,26.879355143498284,7.036307345904868,0.5648068077715506,6.763540914221954,135660,81920
0,322523,thin,5%,4.319711822369198,6.03898726122444,0.5648068077715506,1.266457845675634,135660,81920
0,322523,rich,5%,10.206537144206921,2.7435480120902116,0.5648068077715506,6.586670418623301,135660,81920
0,322523,gnn,5%,24.924707688673674,7.024070289651122,0.5648068077715506,6.282627371514394,135660,81920
2,198232,thin,10%,11.723425180443733,13.180864176966386,0.9848636673888275,0.903097240111474,60115,60160
2,198232,rich,10%,3.7305595839375907,4.595729086850785,0.9848636673888275,0.8242205626343148,60115,60160
2,198232,gnn,10%,5.454151456051741,8.123729886397708,0.9848636673888275,0.681703624049932,60115,60160
2,198232,thin,5%,5.569168708639629,6.677882533231169,0.9848636673888275,0.8467895361488122,60115,60160
2,198232,rich,5%,2.2136653831408046,2.845054469134157,0.9848636673888275,0.7900330722754307,60115,60160
2,198232,gnn,5%,5.445816872530879,8.112069827097978,0.9848636673888275,0.6816402650366616,60115,60160
11,39693,thin,10%,7.125079997155656,10.775566231983527,1.072195797245492,0.6167022651131563,14086,13133
11,39693,rich,10%,19.29175851525279,3.706245710363761,1.072195797245492,4.854712417841408,14086,13133
11,39693,gnn,10%,18.701557277963452,8.54114237779303,1.072195797245492,2.0421503337885483,14086,13133
11,39693,thin,5%,3.2354405176704826,5.574620605505986,1.072195797245492,0.541307449089816,14086,13133
11,39693,rich,5%,8.6112493777999,2.325936093952566,1.072195797245492,3.4529817873515967,14086,13133
11,39693,gnn,5%,6.826423949370689,8.51063829787234,1.072195797245492,0.7480954655033072,14086,13133
4,36233,thin,10%,12.067260138476756,14.703974798480496,0.6283422459893048,1.3061037167489251,11132,10810
4,36233,rich,10%,4.801726463447531,6.170666172519225,0.6283422459893048,1.2384232707990521,11132,10810
4,36233,gnn,10%,5.584030213110331,9.635875104234227,0.6283422459893048,0.9222747891038185,11132,10810
